JK,IPS1,IPS2,IPS3,IPS4,IPS5,IPS6,SKS1,SKS2,SKS3,SKS4,SKS5,SKS6,KETERANGAN
1,2.96,3.17,2.82,2.5,2.47,2.19,23,18,22,18,17,16,3
1,3.3,3.1,3.5,2.77,2.24,3.38,23,21,22,22,21,16,3
2,3.3,3.29,3.36,3,3.05,3.76,23,21,22,20,21,21,3
2,3.26,3.1,3.18,3.23,3.55,3.55,23,21,22,22,22,22,3
1,2.91,2.96,,,3.28,3,23,23,,,,,
2,3.48,3.38,3.45,3.27,3.41,3.77,23,21,22,22,22,22,3
2,2.7,2.65,,,2.47,2.4,23,20,,,14,20,3
1,3.35,3.09,3.1,3,3.72,3.63,23,23,22,20,22,24,1
2,2.65,0.4,,,,,23,15,,,,,
2,,,3.75,3.48,2.81,3.78,23,,24,23,22,23,2
2,,2.25,2.29,,,,23,20,17,,,,
2,3.17,3,3.14,3.1,3.28,3.5,23,21,22,21,21,22,2
2,2.78,3.12,3,3.14,2.76,3.42,23,17,21,21,21,19,3
2,2.91,3,2.82,2.63,2.62,2.83,23,19,22,19,21,18,3
2,,2.57,3.42,,3.33,3.05,23,23,19,,24,22,2
2,2.39,0.71,,,,,23,21,,,,,
2,2.57,3,2.7,2.67,,,23,18,20,18,,,
2,3.39,3.11,2.59,2.83,3,2.55,23,21,22,18,17,20,3
2,3.35,3.24,,,3.14,3.51,23,21,,,21,21,3
2,3.09,3,3.14,3.09,2.68,3.3,23,21,22,22,22,20,3
1,3.7,3.1,3.59,,,,23,21,17,,,,
1,3.09,2.94,3,2.75,3.17,3.48,23,20,20,20,18,21,2
1,2.48,2.07,2.75,2.16,2.53,2.27,23,15,16,19,15,15,3
1,3.3,3.14,3.27,3.09,3.18,3.65,23,21,22,22,22,20,3
2,2.78,,,,2.79,2.76,23,,,,14,17,3
2,3.35,3.33,3.41,3.36,3.41,3.77,23,21,22,22,22,22,2
1,3.57,3.04,3.45,3.86,3.46,3.77,23,23,22,22,24,22,2
1,3.43,3.62,4,3.87,3.29,3.91,23,21,24,23,21,22,2
2,2.7,,,,,,23,,,,,,
2,3,2,2.73,2.15,2.87,2.75,23,20,15,20,15,20,3
1,2.65,2.27,2.88,3.17,2.68,3.24,23,15,16,18,22,20,2
2,3.17,3.1,3.14,2.86,3.05,3.79,23,21,21,22,20,24,2
2,3.22,2.83,3,3.23,3.23,3.43,23,18,20,22,21,21,3
2,3.17,2.86,3.16,3,3,2.84,23,21,19,20,22,24,3
2,3.48,3.35,3.41,3.23,3.57,4,23,23,22,22,21,24,2
2,3.13,3,3.29,3.09,3,3.74,23,21,21,22,20,19,3
2,3.22,3,3.35,3.14,3.37,3.76,23,19,20,22,19,21,3
2,3.48,3.19,3.55,3.5,3.24,3,23,21,22,22,21,21,3
2,3.35,3.14,3.43,3,3,2.61,23,21,21,22,19,22,3
2,2.78,2.72,2.73,2.83,3.11,3.27,23,18,22,18,19,22,3
1,3.09,2.21,2.83,3.15,2.81,3.45,23,19,18,20,21,20,3
2,3.26,1.95,,,,,23,21,,,,,
2,3.83,4,4,4,3.68,3.7,23,23,24,23,22,23,1
1,2.48,2.72,2.22,2.6,2.71,2.26,23,18,18,15,17,19,3
1,3.65,3.39,3.68,3.22,3.52,3.79,23,23,22,23,21,24,2
1,2.87,,3,,2.86,3.33,23,,18,,21,18,3
2,3.17,2.86,3.11,2.59,,,23,21,19,22,,,
2,3.26,3,3,3.23,2.71,3.47,23,21,22,22,21,17,3
2,3.48,3.3,,,,,23,23,,,,,
2,3.26,3.19,3.17,2.86,3.22,2.86,23,21,21,22,18,21,3
2,3.3,3.1,3.32,3,3.55,2.41,23,20,19,22,20,22,2
2,2.78,2.33,2.84,2.83,3.11,2.95,23,18,19,18,18,19,3
1,3.3,0.22,,,,,23,18,,,,,
1,3.26,2.52,3.38,,,,23,21,16,,,,
2,3.13,2.9,2.67,3.11,3.19,3.18,23,20,18,18,21,22,2
1,3.57,2.65,3.36,3.6,3.17,3.45,23,23,22,22,23,22,1
2,3.57,3.65,3.58,3.61,3.38,4,23,23,24,23,24,22,3
2,3.35,2.95,3.27,3.27,,,23,21,22,22,,,
2,3.35,3.19,3.4,3.14,3.54,3.38,23,21,20,22,22,24,2
1,2.78,2.67,3.05,2.86,3,3.45,23,18,19,22,18,20,2
2,3.17,2.86,3.22,3,3.1,2.45,23,21,18,22,21,21,2
1,3.22,2.86,3.09,3.59,3.33,3.64,23,21,22,22,24,22,2
2,3.09,2.71,3.17,3,2.84,3.53,23,21,18,22,19,19,2
1,3.69,,,,,,23,,,,,,
2,2.78,0.24,,,,,23,17,,,,,
1,3.26,3.14,3.2,3,2.55,3.27,23,21,20,22,20,22,3
2,2.57,2.83,2.4,3,,,23,18,20,15,,,
2,4,3.87,4,3.87,3.27,3.91,23,23,24,23,22,23,2
1,3.13,,,,2.57,2.83,23,,,,21,18,3
2,2.61,2.68,2.88,2.37,,,23,19,17,19,,,
2,3.39,3.1,3.27,3.2,3.14,3.68,23,21,22,22,22,22,3
,2.78,1.38,,,,,23,21,,,,,
2,2.21,,,,,,19,,,,,,
2,3.17,2.95,2.84,2.33,,,23,20,19,18,,,
1,0.89,2.85,2,0,,,9,13,18,16,,,
2,2.91,3,3.4,2.45,2.87,3.57,23,20,20,22,15,23,3
2,2.39,,,2.33,2.68,2.41,23,,,18,16,17,3
2,3.17,3.52,3.41,3.41,3.48,3.92,23,21,22,22,21,24,2
1,3.09,,3.18,,3,3.48,23,,22,,21,21,2
1,3.22,3,3.41,2.86,3.27,3.68,23,21,22,22,18,21,2
2,3.35,2.59,2.6,3,2.62,3.26,23,17,20,18,21,17,3
2,3.09,3,2.8,2.9,3.26,3.41,23,19,20,19,19,22,3
2,3.13,3.35,3.36,3.57,3.09,3.09,23,17,22,21,23,23,2
2,2.63,0.29,,,,,16,14,,,,,
2,2.83,,,,,,23,,,,,,
1,3.42,3.24,3.41,3.5,3.46,3.67,19,21,22,22,24,21,3
1,3.53,3.52,3,3,3.6,2.83,19,23,24,22,20,24,3
2,3.58,3.39,3.39,3.3,3.33,3.52,19,23,22,20,24,21,3
1,3.11,3.1,3.23,3.14,3.58,3.45,19,21,22,22,24,22,2
2,3.11,2.9,2.33,2.82,3,1.32,19,21,18,17,20,22,3
2,2.79,2.9,,,,,19,20,,,,,
2,3.42,3.6,3.21,3.2,3.74,3.48,19,23,24,20,23,23,3
2,,,3.14,3,3.43,3.48,19,,22,20,23,23,3
1,3.58,3.43,3.41,3.83,3.42,3.5,19,23,22,23,24,22,2
2,2.79,2.83,3,3.32,3.35,3.25,19,18,19,22,23,24,2
2,3.11,3,2.91,3.15,3.46,3.17,19,21,22,20,24,24,2
2,3.42,3.48,3,3.32,3.35,3.21,19,21,22,22,23,24,2
2,2.95,3.17,2.77,2.5,3,2.76,19,17,22,20,21,21,2
2,3.11,3.48,2.91,3.3,3.25,3.26,19,21,22,20,24,23,3
2,3.11,3.19,3,2.87,3.41,3.3,19,21,22,23,22,23,3
2,3.26,3.32,3.04,3.26,3.04,3.28,19,21,22,23,24,18,3
2,3.42,3.83,3.29,3.43,3.46,3.33,19,23,24,23,24,24,2
2,2.79,3.11,,,,,19,18,,,,,
2,3.42,3.43,3.64,3.59,3.39,3.57,19,21,22,22,23,21,2
2,3.11,3,2.64,2.72,2.76,2.85,19,21,22,18,21,20,2
2,3.26,3.32,2.91,3,3,3.14,19,21,22,19,22,22,3
2,3.11,3,3,3.36,3.13,3.24,19,21,22,22,24,21,3
2,2.63,2.74,2.47,2.41,2.71,2.47,19,19,19,17,17,17,3
2,3.11,3.08,2.91,3.15,3.38,3.32,19,23,22,20,24,22,3
2,2.63,2.95,,,,,19,20,,,,,
2,2.95,2.8,,,,,19,20,,,,,
2,3.11,3.2,2.77,3,3,2.77,19,20,22,20,24,22,3
2,3.21,3.09,2.77,2.85,3.52,3.48,19,23,22,20,21,23,3
2,3.11,2.87,2.6,2.84,3.45,2.96,19,21,20,19,22,24,2
2,2.79,2.84,1.7,2.71,2.5,2.37,19,19,20,14,20,19,3
2,3.11,3.33,2.91,3.15,3.58,3.45,19,21,22,20,24,22,2
2,3.11,3.1,2.64,2.95,3.09,3.04,19,21,22,19,22,24,2
2,3.21,3,3.14,3,3.45,3.21,19,21,22,22,22,24,2
2,2.47,2.4,,,,,19,15,,,,,
2,3.11,3.23,3,3,3.43,3.23,19,21,22,22,21,22,2
2,3.26,3.1,2.95,3.15,3.38,3.32,19,21,22,20,24,22,3
2,2.95,3.1,2.64,2.82,2.77,2.73,19,20,22,17,22,22,3
2,3.42,3.17,3.05,3.15,3.45,3.14,19,23,20,20,22,22,3
2,2.79,2.94,,,,,19,18,,,,,
1,3.11,2.76,3,3,3.24,2.77,19,21,17,22,21,22,3
1,2.79,3.17,3.4,3,3,3.48,19,18,20,22,21,21,3
2,3.53,3.91,3.58,3.83,0,3.7,19,23,24,23,23,23,3
2,3.53,3.3,3.5,3.52,3.79,3.53,19,23,22,23,24,19,2
2,3.11,3.3,2.86,2.85,3.24,2.86,19,21,22,20,21,22,3
2,,3,,,,,,18,,,,,
2,3.11,2.9,2.73,2.68,2.9,2.43,19,21,19,22,21,21,3
2,3.11,2.95,2.77,3.16,3.42,3.13,19,21,22,19,24,23,2
2,3.11,3.23,2.91,3,3.33,2.87,19,21,22,19,24,23,2
2,3.11,2.83,3.05,3.05,3.33,3.04,19,18,19,22,21,24,2
2,3.37,3.38,3.23,3.55,3.38,3.67,19,21,22,22,24,21,2
1,2.73,3.22,2.77,3,2.23,3.16,19,18,22,19,22,19,3
1,3.42,3.22,3.27,3.14,3,3.33,19,23,22,22,22,21,3
1,2.79,3.17,2.91,2.63,2.89,2.72,19,18,22,19,18,18,3
2,3.11,2.76,,,,,19,21,,,,,
2,2.79,3.11,2.41,2.75,3.09,2.79,19,21,22,16,22,24,3
1,3.26,2.95,3.05,3.27,3.33,3.61,19,21,19,22,24,23,2
2,3.3,3.52,3.18,3.59,3.67,3.38,19,21,22,22,24,24,2
2,3.11,3.04,,,,,19,21,,,,,
2,3.26,3.24,3.14,3.32,3.5,3.33,19,21,22,22,24,24,3
2,3.21,3.33,2.77,3.42,3.33,3.39,19,22,22,19,24,23,2
1,3.11,3.24,3.05,3.27,3.38,3.63,19,21,22,22,24,24,3
2,3.11,3.14,2.91,3.15,3.21,3.22,19,21,22,20,24,23,3
2,3.21,3.24,2.91,3,3.36,3.33,19,21,22,20,22,24,2
2,3.26,3,2.91,2.85,3.19,3.32,19,21,22,20,21,22,2
2,2.95,2.95,2.42,2.5,3.06,2.79,19,20,19,14,18,24,3
2,3.21,3.48,2.91,3.15,3.58,3.39,19,21,22,20,24,23,2
1,3.11,3.09,2.91,3.3,3.2,3.29,19,21,22,20,24,24,3
2,2.89,3.05,2.77,3,2.64,2.86,19,20,22,17,22,22,2
